Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2003,01,15,00,00,00,97.16233
2003,01,15,01,00,00,97.059
2003,01,15,02,00,00,96.575
2003,01,15,03,00,00,96.06958
2003,01,15,04,00,00,96.03907
2003,01,15,05,00,00,96.02217
2003,01,15,06,00,00,95.87733
2003,01,15,07,00,00,95.42519
2003,01,15,08,00,00,95.78883
2003,01,15,09,00,00,96.2775
2003,01,15,10,00,00,96.98433
2003,01,15,11,00,00,97.69483
2003,01,15,12,00,00,97.52183
2003,01,15,13,00,00,97.17967
2003,01,15,14,00,00,96.98615
2003,01,15,15,00,00,NaN
2003,01,15,16,00,00,92.74967
2003,01,15,17,00,00,94.11967
2003,01,15,18,00,00,94.595
2003,01,15,19,00,00,95.646
2003,01,15,20,00,00,96.49481
2003,01,15,21,00,00,96.97867
2003,01,15,22,00,00,96.42771
2003,01,15,23,00,00,97.07048
2003,01,16,00,00,00,NaN
2003,01,16,01,00,00,NaN
2003,01,16,02,00,00,NaN
2003,01,16,03,00,00,NaN
2003,01,16,04,00,00,NaN
2003,01,16,05,00,00,NaN
2003,01,16,06,00,00,NaN
2003,01,16,07,00,00,NaN
2003,01,16,08,00,00,NaN
2003,01,16,09,00,00,NaN
2003,01,16,10,00,00,NaN
2003,01,16,11,00,00,NaN
2003,01,16,12,00,00,NaN
2003,01,16,13,00,00,NaN
2003,01,16,14,00,00,NaN
2003,01,16,15,00,00,NaN
2003,01,16,16,00,00,NaN
2003,01,16,17,00,00,NaN
2003,01,16,18,00,00,87.93417
2003,01,16,19,00,00,88.96533
2003,01,16,20,00,00,88.968
2003,01,16,21,00,00,86.45567
2003,01,16,22,00,00,84.0475
2003,01,16,23,00,00,84.66217
2003,01,17,00,00,00,85.40667
2003,01,17,01,00,00,87.89296
2003,01,17,02,00,00,84.79117
2003,01,17,03,00,00,87.65167
2003,01,17,04,00,00,89.21417
2003,01,17,05,00,00,92.66194
2003,01,17,06,00,00,90.1785
2003,01,17,07,00,00,94.69904
2003,01,17,08,00,00,96.65033
2003,01,17,09,00,00,89.20685
2003,01,17,10,00,00,95.99133
2003,01,17,11,00,00,89.5113
2003,01,17,12,00,00,92.44433
