Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2013,01,20,05,00,00,-0.11467
2013,01,20,06,00,00,0.128
2013,01,20,07,00,00,0.024
2013,01,20,08,00,00,0.82133
2013,01,20,09,00,00,16.31733
2013,01,20,10,00,00,60.10133
2013,01,20,11,00,00,108.704
2013,01,20,12,00,00,145.27733
2013,01,20,13,00,00,97.33333
2013,01,20,14,00,00,56.21867
2013,01,20,15,00,00,18.05067
2013,01,20,16,00,00,1.23733
2013,01,20,17,00,00,-0.11467
2013,01,20,18,00,00,-0.184
2013,01,20,19,00,00,-0.08
2013,01,20,20,00,00,-0.21867
2013,01,20,21,00,00,-0.08
2013,01,20,22,00,00,-0.14933
2013,01,20,23,00,00,0.05867
2013,01,21,00,00,00,-0.00467
2013,01,21,01,00,00,-0.178
2013,01,21,02,00,00,0.55
2013,01,21,03,00,00,0.48067
2013,01,21,04,00,00,-0.074
2013,01,21,05,00,00,0.30733
2013,01,21,06,00,00,-0.00467
2013,01,21,07,00,00,-0.14333
2013,01,21,08,00,00,0.61933
2013,01,21,09,00,00,16.91267
2013,01,21,10,00,00,61.11267
2013,01,21,11,00,00,128.08867
2013,01,21,12,00,00,150.34467
2013,01,21,13,00,00,166.95
2013,01,21,14,00,00,153.43
2013,01,21,15,00,00,38.614
2013,01,21,16,00,00,2.59533
2013,01,21,17,00,00,-0.10867
2013,01,21,18,00,00,0.09933
2013,01,21,19,00,00,0.134
2013,01,21,20,00,00,-0.00467
2013,01,21,21,00,00,0.06467
2013,01,21,22,00,00,0.48067
2013,01,21,23,00,00,0.03
2013,01,22,00,00,00,0.062
2013,01,22,01,00,00,-0.07667
2013,01,22,02,00,00,-0.354
2013,01,22,03,00,00,-0.354
2013,01,22,04,00,00,0.02733
2013,01,22,05,00,00,-0.28467
2013,01,22,06,00,00,-0.11133
2013,01,22,07,00,00,-0.00733
2013,01,22,08,00,00,1.414
2013,01,22,09,00,00,33.09933
2013,01,22,10,00,00,134.70733
2013,01,22,11,00,00,215.58467
2013,01,22,12,00,00,197.10733
2013,01,22,13,00,00,212.88067
2013,01,22,14,00,00,131.89933
2013,01,22,15,00,00,38.40333
2013,01,22,16,00,00,2.52333
2013,01,22,17,00,00,-0.354
2013,01,22,18,00,00,0.062
2013,01,22,19,00,00,-0.042
2013,01,22,20,00,00,-0.21533
2013,01,22,21,00,00,-0.146
2013,01,22,22,00,00,-0.11133
2013,01,22,23,00,00,-0.21533
2013,01,23,00,00,00,-0.13933
2013,01,23,01,00,00,-0.03533
2013,01,23,02,00,00,0.17267
2013,01,23,03,00,00,-0.10467
2013,01,23,04,00,00,-0.10467
2013,01,23,05,00,00,-0.00067
2013,01,23,06,00,00,-0.03533
2013,01,23,07,00,00,-0.00067
2013,01,23,08,00,00,0.90067
2013,01,23,09,00,00,34.83933
2013,01,23,10,00,00,136.794
2013,01,23,11,00,00,234.31133
2013,01,23,12,00,00,153.08733
2013,01,23,13,00,00,80.28733
2013,01,23,14,00,00,74.98333
2013,01,23,15,00,00,26.83133
