Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,14,17,00,00,402.7253
2013,01,14,18,00,00,402.7438
2013,01,14,19,00,00,402.4192
2013,01,14,20,00,00,401.9097
2013,01,14,21,00,00,401.3999
2013,01,14,22,00,00,401.1988
2013,01,14,23,00,00,401.0244
2013,01,15,00,00,00,401.0775
2013,01,15,01,00,00,401.2417
2013,01,15,02,00,00,401.3938
2013,01,15,03,00,00,401.2901
2013,01,15,04,00,00,401.34411
2013,01,15,05,00,00,401.4074
2013,01,15,06,00,00,401.3683
2013,01,15,07,00,00,401.2237
2013,01,15,08,00,00,401.6009
2013,01,15,09,00,00,402.0328
2013,01,15,10,00,00,402.1745
2013,01,15,11,00,00,402.1732
2013,01,15,12,00,00,402.6502
2013,01,15,13,00,00,402.6763
2013,01,15,14,00,00,402.4795
2013,01,15,15,00,00,401.9096
2013,01,15,16,00,00,401.585
2013,01,15,17,00,00,401.645
2013,01,15,18,00,00,401.4271
2013,01,15,19,00,00,401.5194
2013,01,15,20,00,00,401.547
2013,01,15,21,00,00,401.3872
2013,01,15,22,00,00,401.5247
2013,01,15,23,00,00,401.6083
2013,01,16,00,00,00,401.5581
2013,01,16,01,00,00,401.3508
2013,01,16,02,00,00,401.4998
2013,01,16,03,00,00,401.9372
2013,01,16,04,00,00,402.4563
2013,01,16,05,00,00,402.66
2013,01,16,06,00,00,402.6369
2013,01,16,07,00,00,402.7004
2013,01,16,08,00,00,402.9111
2013,01,16,09,00,00,403.1399
2013,01,16,10,00,00,403.502
2013,01,16,11,00,00,403.3539
2013,01,16,12,00,00,403.1954
2013,01,16,13,00,00,403.348
2013,01,16,14,00,00,403.78556
2013,01,16,15,00,00,403.9489
2013,01,16,16,00,00,404.1707
2013,01,16,17,00,00,404.1404
2013,01,16,18,00,00,404.3993
2013,01,16,19,00,00,404.553
2013,01,16,20,00,00,404.4276
2013,01,16,21,00,00,404.488
2013,01,16,22,00,00,404.615
2013,01,16,23,00,00,405.0322
2013,01,17,00,00,00,405.513
2013,01,17,01,00,00,406.1119
2013,01,17,02,00,00,406.4369
2013,01,17,03,00,00,406.7537
2013,01,17,04,00,00,407.118
2013,01,17,05,00,00,407.1717
2013,01,17,06,00,00,406.6642
