Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2003,01,20,16,00,00,99.179
2003,01,20,17,00,00,99.606
2003,01,20,18,00,00,99.172
2003,01,20,19,00,00,99.442
2003,01,20,20,00,00,97.914
2003,01,20,21,00,00,97.111
2003,01,20,22,00,00,96.126
2003,01,20,23,00,00,96.594
2003,01,21,00,00,00,91.834
2003,01,21,01,00,00,93.145
2003,01,21,02,00,00,94.62
2003,01,21,03,00,00,94.31
2003,01,21,04,00,00,94.411
2003,01,21,05,00,00,94.568
2003,01,21,06,00,00,95.15
2003,01,21,07,00,00,95.779
2003,01,21,08,00,00,96.87
2003,01,21,09,00,00,98.425
2003,01,21,10,00,00,99.546
2003,01,21,11,00,00,100.05
2003,01,21,12,00,00,100.73111
2003,01,21,13,00,00,102.44222
2003,01,21,14,00,00,100.716
2003,01,21,15,00,00,101.591
2003,01,21,16,00,00,100.675
2003,01,21,17,00,00,100.387
2003,01,21,18,00,00,99.728
2003,01,21,19,00,00,99.188
2003,01,21,20,00,00,98.285
2003,01,21,21,00,00,97.522
2003,01,21,22,00,00,98.175
2003,01,21,23,00,00,97.959
2003,01,22,00,00,00,99.32
2003,01,22,01,00,00,98.699
2003,01,22,02,00,00,98.406
2003,01,22,03,00,00,98.982
2003,01,22,04,00,00,99.178
2003,01,22,05,00,00,99.113
2003,01,22,06,00,00,98.643
2003,01,22,07,00,00,99.292
2003,01,22,08,00,00,101.335
2003,01,22,09,00,00,100.68
2003,01,22,10,00,00,100.79
2003,01,22,11,00,00,100.668
2003,01,22,12,00,00,99.968
2003,01,22,13,00,00,99.716
2003,01,22,14,00,00,100.009
2003,01,22,15,00,00,100.168
2003,01,22,16,00,00,99.89
2003,01,22,17,00,00,99.767
2003,01,22,18,00,00,99.596
2003,01,22,19,00,00,98.582
2003,01,22,20,00,00,99.354
2003,01,22,21,00,00,98.764
2003,01,22,22,00,00,98.876
2003,01,22,23,00,00,98.378
2003,01,23,00,00,00,97.572
2003,01,23,01,00,00,97.895
2003,01,23,02,00,00,97.851
2003,01,23,03,00,00,98.063
2003,01,23,04,00,00,98.292
2003,01,23,05,00,00,97.951
2003,01,23,06,00,00,97.816
2003,01,23,07,00,00,97.63
